Year,GDP_per_capita_USD,Unemployment_rate_pct,Population
1993,25616.6508772405,7.675,81156363
1994,27201.9593555204,8.727,81438348
1995,31747.2449398447,8.158,81678051
1996,30599.7891048363,8.822,81914831
1997,27046.9565464237,9.861,82034771
1998,27395.9440608051,9.787,82047195
1999,26965.4922773722,8.854,82100243
2000,23925.8559901991,7.917,82211508
2001,23878.3641471651,7.773,82349925
2002,25486.5942008748,8.482,82488495
2003,30711.1022511331,9.779,82534176
2004,34566.7359143735,10.727,82516260
2005,35084.4363546269,11.193,82469422
2006,36980.3349948954,10.277,82376451
2007,42350.9217211489,8.732,82266372
2008,46379.1647953479,7.508,82110097
2009,42471.8868625226,7.88,81902307
2010,42396.9665976293,7.043,81776930
2011,47630.9761883572,5.967,80274983
2012,44718.0159214069,5.372,80425823
2013,47206.8353514242,5.316,80645605
2014,48959.5991203133,4.979,80982500
2015,41929.7549110722,4.612,81686611
2016,42948.9381932694,4.104,82348669
2017,45553.9341495339,3.781,82657002
2018,48916.1686612154,3.384,82905782
2019,47656.199739747,3.163,83092962
2020,47394.8734504469,3.881,83160871
2021,52349.2459994422,3.594,83196078
2022,50506.5179638543,3.137,83177813
2023,54776.7668235491,3.071,83287273
2024,56103.7323182554,3.4,83516593
2025,60496.4350820414,3.711,83491249
