Jahr,Absatz_Bier_hl,Absatz_Biermisch_hl,Versteuert_hl,Steuerfrei_hl,Export_EU_hl,Export_Drittland_hl,Haustrunk_hl,Braustaetten_Anzahl,Verbrauch_Bier_hl,Verbrauch_pro_Kopf_l
1994,115660265.0,,107356274.0,8303991.0,4289903.0,3672039.0,342048.0,1299.0,108006115.0,132.7
1995,115252060.0,,106345563.0,8906496.0,4696448.0,3882945.0,327102.0,1282.0,107091697.0,131.1
1996,112806908.0,,103506368.0,9300540.0,5128537.0,3870892.0,301110.0,1276.0,104290568.0,127.3
1997,112669814.0,,103146796.0,9523018.0,5832665.0,3404024.0,286328.0,1273.0,103940973.0,126.7
1998,109384583.0,,100180257.0,9204326.0,6132418.0,2797534.0,274374.0,1285.0,100908193.0,123.0
1999,110148097.0,1429533.0,100415120.0,9732977.0,6840331.0,2634285.0,258361.0,1281.0,101066743.0,123.1
2000,109795609.0,1895105.0,98799048.0,10996561.0,7911066.0,2841229.0,244266.0,1280.0,99477050.0,121.0
2001,107814758.0,2253733.0,96736242.0,11078516.0,8270980.0,2571330.0,236206.0,1299.0,97420634.0,118.3
2002,107767840.0,2921002.0,96480757.0,11287083.0,8120219.0,2936528.0,230336.0,1289.0,97167133.0,117.8
2003,105568280.0,2752250.0,93254447.0,12313833.0,9009669.0,3084040.0,220124.0,1275.0,94028494.0,114.0
2004,105864017.0,2585946.0,91962735.0,13901282.0,10828711.0,2856960.0,215611.0,1281.0,92396601.0,112.0
2005,105368998.0,2985448.0,91277109.0,14091890.0,10994773.0,2884923.0,212194.0,1281.0,91526701.0,111.0
2006,106839063.0,3515329.0,91867369.0,14971695.0,11648729.0,3126598.0,196367.0,1289.0,92122682.0,111.8
2007,103969397.0,4154971.0,88503564.0,15465833.0,11817854.0,3457700.0,190280.0,1306.0,88747520.0,107.9
2008,102910763.0,4200209.0,87735031.0,15175732.0,11675279.0,3315852.0,184601.0,1328.0,87926465.0,107.1
2009,99979201.0,4075195.0,85889056.0,14090144.0,10749091.0,3164720.0,176333.0,1331.0,86087727.0,105.1
2010,98350734.0,3967715.0,83431001.0,14919733.0,11028513.0,3725289.0,165930.0,1333.0,83619950.0,102.3
2011,98293273.0,3836189.0,82759820.0,15533453.0,11248396.0,4126977.0,158081.0,1347.0,83015185.0,103.5
2012,96531972.0,4315453.0,81023930.0,15508042.0,11033069.0,4324032.0,150942.0,1341.0,81245431.0,101.0
2013,94645879.0,4236569.0,79717489.0,14928390.0,10079292.0,4701989.0,147110.0,1352.0,79930195.0,99.1
2014,95666724.0,4147606.0,80065926.0,15600797.0,10135661.0,5312992.0,152144.0,1359.0,80280922.0,99.1
2015,95771994.0,4032264.0,79533843.0,16238152.0,9889925.0,6206823.0,141404.0,1392.0,79706441.0,97.6
2016,95879991.0,4010879.0,79052584.0,16827407.0,9893799.0,6796338.0,137270.0,1411.0,79260218.0,96.2
2017,93547200.0,3966901.0,77242767.0,16304433.0,9656063.0,6520007.0,128362.0,1500.0,77433176.0,93.7
2018,94008257.0,4438695.0,77738234.0,16270023.0,9371969.0,6766886.0,131168.0,1542.0,77921117.0,94.0
2019,92194789.0,4502319.0,76114976.0,16079813.0,8959956.0,6995043.0,124814.0,1552.0,76316617.0,91.8
2020,87167679.0,4376164.0,72013656.0,15154024.0,7781104.0,7253768.0,119151.0,1536.0,72242192.0,86.9
2021,85318194.0,4415181.0,69564541.0,15753653.0,7468793.0,8168227.0,116633.0,1520.0,69759133.0,83.8
2022,87703434.0,4438836.0,72384360.0,15319074.0,8050009.0,7157035.0,112031.0,1521.0,72601498.0,86.6
2023,83761614.0,4031326.0,69345523.0,14416091.0,7839908.0,6462585.0,113598.0,1511.0,69525288.0,83.5
2024,82678342.0,4242206.0,68037090.0,14641252.0,8089538.0,6444314.0,107401.0,1468.0,68202694.0,81.7
2025,77707440.0,4020477.0,64094924.0,13612516.0,7984939.0,5527874.0,99703.0,1415.0,64261615.0,76.9
